road,id,model_type,name,lat,lon,length,condition,lrp
N1,1000000,source,source,22.3586667,91.7822771,0,,LRP235b
N1,1000001,link,link 1,22.3691382,91.777666,1257,,LRP235a
N1,1000002,link,link 2,22.369166,91.7741938,357,,LRP235
N1,1000003,link,link 3,22.3762254893617,91.77054326631206,870,,LRP234b
N1,1000004,link,link 4,22.3764716,91.770416,30,,LRP234a
N1,1000005,bridge,Bridge start,22.3764716,91.770416,0,B,LRP234a
N1,1000006,link,link 5,22.379166,91.7675827,418,,LRP234
N1,1000007,link,link 6,22.3815271,91.7652222,358,,LRP233a
N1,1000008,link,link 7,22.3861663,91.7618333,623,,LRP233
N1,1000009,link,link 8,22.3887497,91.7607222,309,,LRP232d
N1,1000010,link,link 9,22.3892497,91.7605,60,,LRP232c
N1,1000011,bridge,Bridge start,22.3892497,91.7605,0,B,LRP232c
N1,1000012,link,link 10,22.3921108,91.75925,343,,LRP232b
N1,1000013,link,link 11,22.3937774,91.7588056,191,,LRP232a
N1,1000014,link,link 12,22.3944997,91.7586944,81,,LRP232
N1,1000015,link,link 13,22.3988052,91.7576667,490,,LRP231c
N1,1000016,link,link 14,22.3988608,91.7576667,6,,LRP231b
N1,1000017,bridge,Bridge start,22.3988608,91.7576667,0,B,LRP231b
N1,1000018,link,link 15,22.3996108,91.7573333,90,,LRP231a
N1,1000019,link,link 16,22.4032222,91.7565278,410,,LRP231
N1,1000020,link,link 17,22.40839921010101,91.75514357643098,593,,LRP230c
N1,1000021,link,link 18,22.4084167,91.7551389,2,,LRP230b
N1,1000022,link,link 19,22.4101111,91.7544444,201,,LRP230a
N1,1000023,link,link 20,22.4119167,91.7543611,201,,LRP230
N1,1000024,link,link 21,22.4182771,91.7506667,803,,LRP229b
N1,1000025,link,link 22,22.4185549,91.7504722,37,,LRP229a
N1,1000026,bridge,Bridge start,22.4185549,91.7504722,0,B,LRP229a
N1,1000027,link,link 23,22.4198882,91.7497774,165,,LRP229
N1,1000028,link,link 24,22.4269716,91.7439997,986,,LRP228
N1,1000029,link,link 25,22.4304438,91.7417219,452,,LRP227c
N1,1000030,link,link 26,22.4307493,91.7415274,39,,LRP227b
N1,1000031,bridge,Bridge start,22.4307493,91.7415274,0,B,LRP227b
N1,1000032,link,link 27,22.4333049,91.7403608,308,,LRP227a
N1,1000033,link,link 28,22.4349719,91.7396941,198,,LRP227
N1,1000034,link,link 29,22.4422219,91.7367497,861,,LRP226b
