Step,AgentID,type,generated,remove,total delay,name,lrp,duration,seed,iteration
549,Truck100803,Vehicle,15.0,548.0,,,,533.0,1217235,1
585,Truck100802,Vehicle,10.0,584.0,,,,574.0,1217235,1
586,Truck100804,Vehicle,20.0,585.0,,,,565.0,1217235,1
588,Truck100801,Vehicle,5.0,587.0,,,,582.0,1217235,1
588,Truck100808,Vehicle,40.0,587.0,,,,547.0,1217235,1
591,Truck100800,Vehicle,0.0,590.0,,,,590.0,1217235,1
608,Truck100806,Vehicle,30.0,607.0,,,,577.0,1217235,1
610,Truck100810,Vehicle,50.0,609.0,,,,559.0,1217235,1
611,Truck100805,Vehicle,25.0,610.0,,,,585.0,1217235,1
626,Truck100811,Vehicle,55.0,625.0,,,,570.0,1217235,1
628,Truck100807,Vehicle,35.0,627.0,,,,592.0,1217235,1
631,Truck100813,Vehicle,65.0,630.0,,,,565.0,1217235,1
635,Truck100815,Vehicle,75.0,634.0,,,,559.0,1217235,1
641,Truck100809,Vehicle,45.0,640.0,,,,595.0,1217235,1
644,Truck100812,Vehicle,60.0,643.0,,,,583.0,1217235,1
646,Truck100818,Vehicle,90.0,645.0,,,,555.0,1217235,1
649,Truck100814,Vehicle,70.0,648.0,,,,578.0,1217235,1
651,Truck100819,Vehicle,95.0,650.0,,,,555.0,1217235,1
653,Truck100820,Vehicle,100.0,652.0,,,,552.0,1217235,1
654,Truck100823,Vehicle,115.0,653.0,,,,538.0,1217235,1
680,Truck100824,Vehicle,120.0,679.0,,,,559.0,1217235,1
684,Truck100817,Vehicle,85.0,683.0,,,,598.0,1217235,1
684,Truck100829,Vehicle,145.0,683.0,,,,538.0,1217235,1
685,Truck100816,Vehicle,80.0,684.0,,,,604.0,1217235,1
689,Truck100826,Vehicle,130.0,688.0,,,,558.0,1217235,1
707,Truck100822,Vehicle,110.0,706.0,,,,596.0,1217235,1
710,Truck100832,Vehicle,160.0,709.0,,,,549.0,1217235,1
715,Truck100831,Vehicle,155.0,714.0,,,,559.0,1217235,1
723,Truck100827,Vehicle,135.0,722.0,,,,587.0,1217235,1
724,Truck100834,Vehicle,170.0,723.0,,,,553.0,1217235,1
726,Truck100821,Vehicle,105.0,725.0,,,,620.0,1217235,1
735,Truck100833,Vehicle,165.0,734.0,,,,569.0,1217235,1
740,Truck100828,Vehicle,140.0,739.0,,,,599.0,1217235,1
748,Truck100825,Vehicle,125.0,747.0,,,,622.0,1217235,1
760,Truck100830,Vehicle,150.0,759.0,,,,609.0,1217235,1
762,Truck100839,Vehicle,195.0,761.0,,,,566.0,1217235,1
767,Truck100837,Vehicle,185.0,766.0,,,,581.0,1217235,1
770,Truck100845,Vehicle,225.0,769.0,,,,544.0,1217235,1
772,Truck100835,Vehicle,175.0,771.0,,,,596.0,1217235,1
772,Truck100836,Vehicle,180.0,771.0,,,,591.0,1217235,1
776,Truck100838,Vehicle,190.0,775.0,,,,585.0,1217235,1
778,Truck100840,Vehicle,200.0,777.0,,,,577.0,1217235,1
790,Truck100842,Vehicle,210.0,789.0,,,,579.0,1217235,1
797,Truck100843,Vehicle,215.0,796.0,,,,581.0,1217235,1
801,Truck100841,Vehicle,205.0,800.0,,,,595.0,1217235,1
809,Truck100844,Vehicle,220.0,808.0,,,,588.0,1217235,1
815,Truck100850,Vehicle,250.0,814.0,,,,564.0,1217235,1
815,Truck100855,Vehicle,275.0,814.0,,,,539.0,1217235,1
816,Truck100846,Vehicle,230.0,815.0,,,,585.0,1217235,1
823,Truck100848,Vehicle,240.0,822.0,,,,582.0,1217235,1
823,Truck100851,Vehicle,255.0,822.0,,,,567.0,1217235,1
828,Truck100852,Vehicle,260.0,827.0,,,,567.0,1217235,1
832,Truck100847,Vehicle,235.0,831.0,,,,596.0,1217235,1
832,Truck100856,Vehicle,280.0,831.0,,,,551.0,1217235,1
838,Truck100849,Vehicle,245.0,837.0,,,,592.0,1217235,1
839,Truck100853,Vehicle,265.0,838.0,,,,573.0,1217235,1
845,Truck100854,Vehicle,270.0,844.0,,,,574.0,1217235,1
865,Truck100861,Vehicle,305.0,864.0,,,,559.0,1217235,1
867,Truck100862,Vehicle,310.0,866.0,,,,556.0,1217235,1
