vehicle_id,start_time,end_time,time_elapsed
Truck5,25,628,603
Truck9,45,633,588
Truck4,20,649,629
Truck3,15,667,652
Truck6,30,669,639
Truck8,40,672,632
Truck11,55,691,636
Truck2,10,693,683
Truck20,100,698,598
Truck7,35,700,665
Truck15,75,703,628
Truck1,5,720,715
Truck0,0,721,721
Truck17,85,722,637
Truck12,60,727,667
Truck13,65,749,684
Truck10,50,751,701
Truck32,160,751,591
Truck28,140,758,618
Truck18,90,759,669
Truck14,70,765,695
Truck23,115,765,650
Truck34,170,767,597
Truck22,110,776,666
Truck25,125,777,652
Truck19,95,780,685
Truck29,145,784,639
Truck27,135,785,650
Truck26,130,793,663
Truck16,80,795,715
Truck21,105,798,693
Truck24,120,798,678
Truck40,200,802,602
Truck37,185,822,637
Truck33,165,826,661
Truck41,205,829,624
Truck30,150,833,683
Truck35,175,833,658
Truck38,190,842,652
Truck36,180,848,668
Truck45,225,862,637
Truck39,195,867,672
Truck49,245,868,623
Truck31,155,878,723
Truck48,240,878,638
Truck55,275,905,630
Truck46,230,909,679
Truck62,310,915,605
Truck42,210,917,707
Truck51,255,918,663
Truck44,220,924,704
Truck43,215,926,711
Truck63,315,938,623
Truck57,285,941,656
Truck47,235,945,710
Truck70,350,947,597
Truck60,300,952,652
Truck50,250,955,705
Truck53,265,959,694
Truck54,270,960,690
Truck52,260,964,704
Truck65,325,964,639
Truck59,295,977,682
Truck56,280,978,698
Truck74,370,992,622
Truck58,290,1004,714
Truck64,320,1005,685
Truck67,335,1007,672
Truck61,305,1011,706
Truck72,360,1013,653
Truck68,340,1015,675
Truck79,395,1015,620
Truck71,355,1017,662
Truck66,330,1026,696
Truck69,345,1031,686
Truck77,385,1036,651
Truck78,390,1036,646
Truck75,375,1046,671
Truck73,365,1058,693
Truck80,400,1059,659
Truck76,380,1070,690
Truck84,420,1070,650
Truck87,435,1070,635
Truck83,415,1081,666
Truck86,430,1081,651
Truck85,425,1092,667
Truck82,410,1093,683
Truck81,405,1096,691
Truck91,455,1096,641
Truck89,445,1101,656
Truck90,450,1112,662
Truck88,440,1124,684
Truck95,475,1124,649
Truck103,515,1124,609
Truck92,460,1125,665
Truck93,465,1132,667
Truck96,480,1132,652
Truck100,500,1153,653
Truck106,530,1165,635
Truck94,470,1168,698
Truck113,565,1172,607
Truck97,485,1177,692
Truck102,510,1183,673
Truck99,495,1188,693
Truck111,555,1188,633
Truck117,585,1192,607
Truck109,545,1195,650
Truck98,490,1198,708
Truck101,505,1203,698
Truck107,535,1209,674
Truck104,520,1211,691
Truck105,525,1213,688
Truck120,600,1224,624
Truck110,550,1234,684
Truck108,540,1238,698
Truck125,625,1243,618
Truck118,590,1255,665
Truck116,580,1256,676
Truck112,560,1262,702
Truck119,595,1267,672
Truck114,570,1269,699
Truck115,575,1272,697
Truck124,620,1272,652
Truck133,665,1281,616
Truck128,640,1285,645
Truck122,610,1290,680
Truck121,605,1300,695
Truck126,630,1305,675
Truck140,700,1318,618
Truck136,680,1320,640
Truck129,645,1329,684
Truck131,655,1333,678
Truck127,635,1335,700
Truck123,615,1339,724
Truck130,650,1343,693
Truck132,660,1343,683
Truck135,675,1356,681
Truck139,695,1362,667
Truck137,685,1364,679
Truck134,670,1366,696
Truck145,725,1368,643
Truck144,720,1375,655
Truck143,715,1376,661
Truck148,740,1377,637
Truck155,775,1383,608
Truck152,760,1387,627
Truck138,690,1388,698
Truck142,710,1389,679
Truck146,730,1395,665
Truck154,770,1396,626
Truck147,735,1404,669
Truck149,745,1409,664
Truck141,705,1411,706
Truck150,750,1418,668
Truck153,765,1423,658
Truck151,755,1427,672
Truck160,800,1438,638
Truck158,790,1446,656
Truck157,785,1459,674
Truck167,835,1461,626
Truck161,805,1467,662
Truck171,855,1467,612
Truck156,780,1472,692
Truck163,815,1478,663
Truck159,795,1482,687
Truck168,840,1492,652
Truck169,845,1510,665
Truck170,850,1511,661
Truck166,830,1514,684
Truck164,820,1517,697
Truck162,810,1518,708
Truck174,870,1518,648
Truck165,825,1522,697
Truck175,875,1531,656
Truck172,860,1548,688
Truck173,865,1552,687
Truck184,920,1553,633
Truck182,910,1561,651
Truck176,880,1562,682
Truck185,925,1563,638
Truck179,895,1564,669
Truck188,940,1565,625
Truck187,935,1574,639
Truck180,900,1575,675
Truck177,885,1579,694
Truck189,945,1595,650
Truck178,890,1605,715
Truck196,980,1605,625
Truck192,960,1612,652
Truck183,915,1618,703
Truck181,905,1622,717
Truck186,930,1623,693
Truck201,1005,1633,628
Truck191,955,1634,679
Truck197,985,1643,658
Truck195,975,1651,676
Truck199,995,1653,658
Truck193,965,1665,700
Truck198,990,1665,675
Truck203,1015,1665,650
Truck194,970,1668,698
Truck202,1010,1668,658
Truck190,950,1679,729
Truck200,1000,1691,691
Truck208,1040,1702,662
Truck204,1020,1715,695
Truck207,1035,1718,683
Truck219,1095,1718,623
Truck226,1130,1725,595
Truck213,1065,1730,665
Truck209,1045,1731,686
Truck205,1025,1732,707
Truck218,1090,1733,643
Truck210,1050,1734,684
Truck206,1030,1735,705
Truck216,1080,1738,658
Truck211,1055,1740,685
Truck215,1075,1746,671
