bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
1000015,Kachpur bridge,N1,B,0,False,0,0,1,1234567
1000025,NOYAPARA CULVERT,N1,A,6,False,0,0,1,1234567
1000027,NAYABARI KASPUR BOX CULVERT,N1,A,8,False,0,0,1,1234567
1000030,NAYABARI BOX CULVERT,N1,B,11,False,0,0,1,1234567
1000035,Madanpur Bridge.(L) (3 bridges at crossing),N1,A,28,False,0,0,1,1234567
1000042,Langalbandhu bridge,N1,B,0,False,0,0,1,1234567
1000046,Bridge start,N1,B,0,False,0,0,1,1234567
1000049,Darikandi Bridge (R) (2 bridges at crossing),N1,A,20,False,0,0,1,1234567
1000053,DARIKANDI BRIDGE (R) (2 bridges at crossing),N1,B,20,False,0,0,1,1234567
1000061,SHADIPUR BOX CULVERT,N1,B,10,False,0,0,1,1234567
1000067,Bridge start,N1,B,0,False,0,0,1,1234567
1000070,SANGAKADI CULVERT,N1,B,6,False,0,0,1,1234567
1000084,Bridge end,N1,B,0,False,0,0,1,1234567
1000089,Anarpara Bridge (L) (4 bridges at crossing),N1,A,30,False,0,0,1,1234567
1000093,Bridge start,N1,B,0,False,0,0,1,1234567
1000096,Alipur bridge(R) (4 bridges at crossing),N1,A,27,False,0,0,1,1234567
1000101,Bhaber char Bridge(R) (4 bridges at crossing),N1,A,30,False,0,0,1,1234567
1000107,NOYAPARA,N1,A,5,False,0,0,1,1234567
1000113,Bridge start,N1,B,0,False,0,0,1,1234567
1000124,Bridge start,N1,B,0,False,0,0,1,1234567
1000132,Bridge start,N1,B,0,False,0,0,1,1234567
1000146,Bridge start,N1,B,0,False,0,0,1,1234567
1000151,Bridge start,N1,B,0,False,0,0,1,1234567
1000161,Bridge start,N1,B,0,False,0,0,1,1234567
1000190,Bridge start,N1,B,0,False,0,0,1,1234567
1000212,TIPRA BAZAR BOX CULVERT,N1,A,1,False,0,0,1,1234567
1000220,Bridge start,N1,B,0,False,0,0,1,1234567
1000228,Bridge start,N1,B,0,False,0,0,1,1234567
1000235,Bridge start,N1,B,0,False,0,0,1,1234567
1000243,Bridge start,N1,B,0,False,0,0,1,1234567
1000252,Bridge start,N1,B,0,False,0,0,1,1234567
1000259,Bridge start,N1,B,0,False,0,0,1,1234567
1000266,Bridge start,N1,B,0,False,0,0,1,1234567
1000272,Bridge start,N1,B,0,False,0,0,1,1234567
1000276,Bridge start,N1,B,0,False,0,0,1,1234567
1000283,Bridge start,N1,B,0,False,0,0,1,1234567
1000299,Bridge start,N1,B,0,False,0,0,1,1234567
1000319,BOSONTA PUR BOX CULVERT,N1,C,6,False,0,0,1,1234567
1000325,Bridge start,N1,B,0,False,0,0,1,1234567
1000334,DIMATOLY (2) BOX CULVERT,N1,B,4,False,0,0,1,1234567
1000342,FOKIR BAZAR SLAB CULVERT,N1,B,4,False,0,0,1,1234567
1000355,UTTOR KAIEATI CULVERT,N1,A,4,False,0,0,1,1234567
1000381,Bridge start,N1,B,0,False,0,0,1,1234567
1000391,Lemua Bridge(L) (2 bridges at crossing),N1,C,99,False,0,0,1,1234567
1000402,MUHURI BRIDGE (2 bridges at crossing),N1,B,192,False,0,0,1,1234567
1000411,DumGhat Bridge(L) (2 bridges at crossing),N1,A,222,False,0,0,1,1234567
1000425,CHAIRMEN BARI BOX CULVERT,N1,A,2,False,0,0,1,1234567
1000427,MADDAM SONAPAR(1) BOX CULVERT,N1,A,2,False,0,0,1,1234567
1000430,DHARBAR TILA CULVERT,N1,A,4,False,0,0,1,1234567
