Join_Count,DISTANCE,TARGET_FID,road,id,model_type,name,lat,lon,length,condition,lrp,ZONE,AFFECTED,DISTNAME,NEWFIELD1
1,0.012010819572100,3,N1,1001307,bridge,KOSUKONA,21.214277800000001,92.166666000000006,2,A,LRP418c,II, ,Cox'S Bazar,D
1,0.015857138489500,4,N1,1001319,bridge,Bridge start,21.192430200000000,92.169624350000007,0,B,LRP421b,II, ,Cox'S Bazar,D
1,0.014692939271600,5,N1,1001322,bridge,Batukhali Bridge (2 bridges at crossing),21.190610800000002,92.167916000000005,9,A,LRP421d,II, ,Cox'S Bazar,D
1,0.009036421491930,6,N1,1001326,bridge,Bridge start,21.185888550000001,92.161000000000001,0,B,LRP422b,II, ,Cox'S Bazar,D
1,0.000938855856452,7,N1,1001417,bridge,LAMBA BIL BOX,21.105361100000000,92.207388899999998,1,C,LRP435a,II, ,Cox'S Bazar,D
1,0.009038513724500,10,N1,1001430,bridge,KANGOR PARA,21.090333000000001,92.212944399999998,3,A,LRP436e,II, ,Cox'S Bazar,A
1,0.009889854533980,11,N1,1001433,bridge,KHANGOR PRAMARY (2),21.086499700000001,92.215111100000001,1,A,LRP437a,II, ,Cox'S Bazar,A
1,0.011929591768600,12,N1,1001438,bridge,KHANCHOR PARA (2),21.080304900000002,92.217499300000000,1,A,LRP438a,II, ,Cox'S Bazar,A
1,0.015324110032500,13,N1,1001443,bridge,NAYAPARA,21.074527100000001,92.222054900000003,6,A,LRP438e,II, ,Cox'S Bazar,D
1,0.016231218268400,14,N1,1001446,bridge,NOYA PARA,21.072832699999999,92.223221600000002,1,A,LRP439a,II, ,Cox'S Bazar,D
1,0.017141200372000,15,N1,1001448,bridge,GIMON KHALI BRIDGE,21.071666000000000,92.224221600000007,6,B,LRP439b,II, ,Cox'S Bazar,D
1,0.017352933615800,16,N1,1001450,bridge,GIM - MOGARI BRIDGE (2 bridges at crossing),21.069110400000000,92.224638200000001,8,C,LRP439c,II, ,Cox'S Bazar,D
1,0.015794021059000,17,N1,1001454,bridge,NINA BAZAR BOX CULVERT,21.065055600000001,92.224527100000003,1,A,LRP440a,II, ,Cox'S Bazar,D
1,0.015699369346300,18,N1,1001458,bridge,NOYA BAZAR BRIDGE (2 bridges at crossing),21.059722250000000,92.226388200000002,31,B,LRP440d,II, ,Cox'S Bazar,D
1,0.019452297732300,19,N1,1001463,bridge,KHARANG KHALI - BOX CUVERT (1),21.051361100000001,92.230416000000005,3,C,LRP441b,II, ,Cox'S Bazar,D
1,0.022955459579800,20,N1,1001468,bridge,KHARANG KHAIL,21.050722199999999,92.233860800000002,1,C,LRP442b,II, ,Cox'S Bazar,D
1,0.025843529019900,21,N1,1001473,bridge,MOULOVI BAZAR BOX CULVERT,21.040749699999999,92.237499700000001,1,C,LRP443a,II, ,Cox'S Bazar,D
1,0.027062744179500,22,N1,1001475,bridge,ALI AXBAR PARA BOX CULVERT,21.036207999999998,92.239777450000005,6,A,LRP443b,II, ,Cox'S Bazar,D
1,0.029770760523700,23,N1,1001483,bridge,Bridge start,21.022749300000001,92.242041299999997,0,B,LRP445a,II, ,Cox'S Bazar,D
1,0.030941683875000,24,N1,1001487,bridge,NILA DOGA PARA BOX CULVERT,21.016999299999998,92.244027399999993,3,A,LRP446a,II, ,Cox'S Bazar,D
1,0.037181651863600,25,N1,1001495,bridge,RONGI- KHALI RCC GIDER BRIDGE (2 bridges at crossing),20.998833000000001,92.253833349999994,12,C,LRP448a,II, ,Cox'S Bazar,D
1,0.025142916754000,26,N1,1001502,bridge,Ladapara Bridge (2 bridges at crossing),20.977693800000001,92.250680549999998,37,A,LRP450a,II, ,Cox'S Bazar,D
1,0.015253344066900,27,N1,1001508,bridge,MOSINNI RCC GIDER BRIDGE (2 bridges at crossing),20.967235400000000,92.249305199999995,9,B,LRP452a,II, ,Cox'S Bazar,D
1,0.014332819431300,28,N1,1001511,bridge,NOYA PARA CULVERT,20.964861100000000,92.251527800000005,1,A,LRP452c,II, ,Cox'S Bazar,D
1,0.013086827391100,29,N1,1001513,bridge,Noya Para Bridge (2 bridges at crossing),20.962166700000001,92.252972249999999,9,A,LRP452d,II, ,Cox'S Bazar,D
1,0.011544847637600,30,N1,1001524,bridge,DONDO MIA BOX CULVERT,20.948208000000001,92.259111149999995,2,A,LRP454b,II, ,Cox'S Bazar,D
1,0.011548790120600,31,N1,1001527,bridge,DOMMO MIA BOX CULVERT,20.945916300000000,92.260333299999999,1,A,LRP454d,II, ,Cox'S Bazar,B
1,0.009932788622070,32,N1,1001531,bridge,DONDO MIA CHAK POST BRIDGE (2 bridges at crossing),20.937249699999999,92.262402750000007,51,B,LRP455b,II, ,Cox'S Bazar,A
1,0.009963231981730,33,N1,1001539,bridge,DONDOMIA,20.929499350000000,92.264125000000007,3,A,LRP456e,II, ,Cox'S Bazar,A
1,0.007828577030490,34,N1,1001543,bridge,DONMIA,20.923693750000002,92.265500000000003,3,D,LRP457a,II, ,Cox'S Bazar,A
1,0.008331988471710,35,N1,1001546,bridge,KARUNTON BOX CULVERT,20.919540999999999,92.268443800000000,1,A,LRP457c,II, ,Cox'S Bazar,A
1,0.008236942016280,36,N1,1001549,bridge,KARUNTON BOX CULVERT,20.918999299999999,92.268638199999998,1,A,LRP457e,II, ,Cox'S Bazar,A
1,0.008075536370200,37,N1,1001552,bridge,Karumtoli choto(1) Bridge (2 bridges at crossing),20.917638199999999,92.269249299999998,6,A,LRP458a,II, ,Cox'S Bazar,A
1,0.008020216325600,38,N1,1001554,bridge,KAKUM TOLI CHACK BOX CULVERT,20.915569450000000,92.270596549999993,1,B,LRP458b,II, ,Cox'S Bazar,A
1,0.008508495440430,39,N1,1001559,bridge,Karumtoli(1) Bridge (2 bridges at crossing),20.912388900000000,92.272971600000005,34,A,LRP458f,II, ,Cox'S Bazar,A
1,0.008865899788840,40,N1,1001562,bridge,BAROY TOLI RCC GIDER BRIDGE (2 bridges at crossing),20.908722250000000,92.275263199999998,30,A,LRP459a,II, ,Cox'S Bazar,A
1,0.009389637959210,41,N1,1001566,bridge,BORYTOLI SLAB CULVERT,20.905944399999999,92.277110399999998,3,A,LRP459d,II, ,Cox'S Bazar,A
1,0.009772162926010,42,N1,1001569,bridge,Gilatoli (1) Bridge (2 bridges at crossing),20.904722199999998,92.277971600000001,18,A,LRP460a,II, ,Cox'S Bazar,A
1,0.010240679120000,43,N1,1001571,bridge,Baraytoli (3) Bridge (2 bridges at crossing),20.903333300000000,92.278943799999993,6,A,LRP460b,II, ,Cox'S Bazar,A
1,0.011767068204900,44,N1,1001574,bridge,Bridge start,20.900222200000002,92.280846600000004,0,B,LRP460d,II, ,Cox'S Bazar,A
1,0.013884284653400,45,N1,1001578,bridge,Bridge start,20.898346900000000,92.283013199999999,0,B,LRP460g,II, ,Cox'S Bazar,A
1,0.016370757129900,46,N1,1001584,bridge,Naitom Para (2) Bridge (2 bridges at crossing),20.896846849999999,92.285583000000003,15,A,LRP461c,II, ,Cox'S Bazar,A
1,0.018415381282700,47,N1,1001588,bridge,Naitong Para (3) Bridge (2 bridges at crossing),20.895360799999999,92.287721899999994,9,A,LRP461f,II, ,Cox'S Bazar,A
1,0.018844226534200,48,N1,1001590,bridge,Naitong Para (3) Bridge (2 bridges at crossing),20.894805200000000,92.288194099999998,9,A,LRP461g,II, ,Cox'S Bazar,A
1,0.019435259687800,49,N1,1001592,bridge,Naitong Para (3) Bridge (2 bridges at crossing),20.894013550000000,92.288846849999999,9,A,LRP461h,II, ,Cox'S Bazar,A
1,0.022156292916400,50,N1,1001598,bridge,Naitom Para(4) Bridge (2 bridges at crossing),20.891902450000000,92.291735750000001,9,A,LRP462a,II, ,Cox'S Bazar,A
1,0.028189100719100,51,N1,1001602,bridge,Bridge start,20.888874650000002,92.298319149999998,0,B,LRP463a,II, ,Cox'S Bazar,A
1,0.025043000523900,52,N1,1001609,bridge,Bridge start,20.876679849999999,92.297888599999993,0,B,LRP465a,II, ,Cox'S Bazar,A
1,0.019838497765200,53,N1,1001614,bridge,Bridge start,20.864847250000000,92.298221900000001,0,B,LRP466b,II, ,Cox'S Bazar,A
1,0.003490104656180,54,N2,2000217,bridge,OLD BRAMMAPULRA,24.057333350000000,90.963319450000000,429,C,LRP069a,II, ,Narsingdi,D
