road,id,model_type,name,lat,lon,length,condition,lrp,ZONE,NEWFIELD1,AFFECTED
N2,2000918,bridge,SUB CITY BOX CULVERT,24.8884163,91.8801104,9,A,LRP230b,I,D,Riverbank Erosion
N2,2000921,bridge,NAYER POLL BOX CULVERT,24.8929997,91.8783049,2,A,LRP231a,I,D,Riverbank Erosion
N2,2000924,bridge,MIRA BAZAR CULVERT,24.8951663,91.880166,4,A,LRP231c,I,D,Riverbank Erosion
N2,2000926,bridge,MIRA BAZAR BOX CULVERT,24.8953052,91.8822493,3,A,LRP231d,I,D,Riverbank Erosion
N2,2000928,bridge,MIRA BAZAR BOX CULVERT,24.8953608,91.8848052,2,A,LRP231e,I,D,Riverbank Erosion
N2,2000931,bridge,FORHADKHA POLL BOX CULVERT,24.8951941,91.8877774,8,A,LRP232a,I,D,Riverbank Erosion
N2,2000934,bridge,TILA GOR BOX CULVERT,24.8951941,91.897833,2,A,LRP233a,I,D,Riverbank Erosion
N2,2000936,bridge,TILA GOR BOX CULVERT,24.8966108,91.9039444,6,B,LRP233b,I,D,Riverbank Erosion
N2,2000939,bridge,ISLAM PUR BOX CULVERT,24.9005,91.9141667,2,A,LRP234a,I,A,Riverbank Erosion
N2,2000916,bridge,SUCLTY BOX CULVERT,24.8874719,91.8804993,9,A,LRP230a,I,B,Riverbank Erosion
N2,2000241,bridge,SONARAMPUR,24.0373052,91.0073056,3,B,LRP074e,II,D,Riverbank Erosion
N1,1000113,bridge,Bridge start,23.5359719,90.6822493,0,B,LRP035a,II,B,Riverbank Erosion
N1,1000124,bridge,Bridge start,23.5315549,90.7174854,0,B,LRP038d,II,B,Riverbank Erosion
N1,1000773,bridge,Sangu Bridge (2 bridges at crossing),22.15886115,92.068041,211,B,LRP286a,II,B,Riverbank Erosion
N1,1000777,bridge,KATGOR CULVERT,22.15093055,92.0696799,9,A,LRP287a,II,B,Riverbank Erosion
N1,1000402,bridge,MUHURI BRIDGE (2 bridges at crossing),22.94962465,91.5017778,192,B,LRP163a,II,A,
N1,1000411,bridge,DumGhat Bridge(L) (2 bridges at crossing),22.91473615,91.5264021,222,A,LRP168a,II,A,
N104,4000130,bridge,Bridge start,22.84141635,91.09829135,0,B,LRP048a,III,A,
N1,1000015,bridge,Kachpur bridge,23.7033472,90.51730525,0,B,LRP008a,II,D,
N1,1000025,bridge,NOYAPARA CULVERT,23.6943608,90.5376108,6,A,LRP011a,II,D,
N1,1000027,bridge,NAYABARI KASPUR BOX CULVERT,23.6922774,90.5410552,8,A,LRP011b,II,D,
N1,1000030,bridge,NAYABARI BOX CULVERT,23.691083,90.5450136,11,B,LRP012a,II,D,
N1,1000035,bridge,Madanpur Bridge.(L) (3 bridges at crossing),23.6854997,90.5512778,28,A,LRP013a,II,D,
N1,1000046,bridge,Bridge start,23.65594445,90.5744299,0,B,LRP017a,II,D,
N1,1000049,bridge,Darikandi Bridge (R) (2 bridges at crossing),23.65398615,90.5773882,20,A,LRP017c,II,D,
N1,1000053,bridge,DARIKANDI BRIDGE (R) (2 bridges at crossing),23.65079165,90.58281875,20,B,LRP018a,II,D,
N1,1000325,bridge,Bridge start,23.16809655,91.3213604,0,B,LRP128a,II,D,
N1,1000334,bridge,DIMATOLY (2) BOX CULVERT,23.1433886,91.326666,4,B,LRP131a,II,D,
N1,1000355,bridge,UTTOR KAIEATI CULVERT,23.08074935,91.35490275,4,A,LRP139b,II,D,
N1,1000381,bridge,Bridge start,22.99612465,91.40058335,0,B,LRP151a,II,D,
N1,1000391,bridge,Lemua Bridge(L) (2 bridges at crossing),22.96211115,91.4420969,99,C,LRP156a,II,D,
N1,1000427,bridge,MADDAM SONAPAR(1) BOX CULVERT,22.868416,91.5431663,2,A,LRP173b,II,D,
N1,1000430,bridge,DHARBAR TILA CULVERT,22.86111772,91.54512585,4,A,LRP174a,II,D,
N1,1000432,bridge,MADDUM SONAPHAR-3,22.8595833,91.5454719,2,A,LRP174b,II,D,
N1,1000435,bridge,MAMAFOUN ASTANA CULVERT,22.856,91.5457219,2,A,LRP175a,II,D,
