road,id,model_type,name,lat,lon,length,condition,lrp,small_truck,medium_truck,heavy_truck,aadt
N1,1000003,link,link 3,23.7021389,90.4519722,168,,LRP001,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000004,link,link 4,23.6978886,90.4605833,996,,LRP002,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000005,link,link 5,23.6973608,90.4616667,125,,LRP002a,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000006,link,link 6,23.693833,90.4691382,856,,LRP003,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000007,link,link 7,23.6936108,90.4787771,982,,LRP004,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000008,link,link 8,23.6938052,90.4805271,179,,LRP004a,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000009,link,link 9,23.6947497,90.4884997,819,,LRP005,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000010,link,link 10,23.6959163,90.4981941,996,,LRP006,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000011,link,link 11,23.697333,90.50775,986,,LRP007,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000012,link,link 12,23.6979163,90.5092778,169,,LRP007a,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000013,link,link 13,23.7020556,90.5157222,801,,LRP008,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000014,link,link 14,23.7021111,90.5157778,8,,LRP008a,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000015,bridge,Kachpur bridge,23.7033472,90.51730525,0,B,LRP008a,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000016,link,link 15,23.7045833,90.5188327,0,,LRP008b,692.022429906542,2381.0542056074764,179.99376947040497,10036.032398753894
N1,1000017,link,link 16,23.7050278,90.5193327,71,,LRP009,3478.0,4965.0,174.0,23879.0
N1,1000018,intersection,Road to Sylhet (N2),23.7060833,90.5215271,252,,LRP009a,3478.0,4965.0,174.0,23879.0
N1,1000019,link,link 17,23.7025278,90.5273882,716,,LRP010,3478.0,4965.0,174.0,23879.0
N1,1000020,link,link 18,23.7015278,90.5281938,138,,LRP010a,3478.0,4965.0,174.0,23879.0
N1,1000021,link,link 19,23.6998608,90.5307216,317,,LRP010b,3478.0,4965.0,174.0,23879.0
N1,1000022,link,link 20,23.6974163,90.5337774,413,,LRP010c,3478.0,4965.0,174.0,23879.0
N1,1000023,link,link 21,23.6966386,90.5348052,136,,LRP011,3478.0,4965.0,174.0,23879.0
N1,1000024,link,link 22,23.6943608,90.5376108,382,,LRP011a,3478.0,4965.0,174.0,23879.0
N1,1000025,bridge,NOYAPARA CULVERT,23.6943608,90.5376108,6,A,LRP011a,3478.0,4965.0,174.0,23879.0
N1,1000026,link,link 23,23.6922774,90.5410552,420,,LRP011b,3478.0,4965.0,174.0,23879.0
N1,1000027,bridge,NAYABARI KASPUR BOX CULVERT,23.6922774,90.5410552,8,A,LRP011b,3478.0,4965.0,174.0,23879.0
N1,1000028,link,link 24,23.6918052,90.5426108,167,,LRP012,3221.0,4419.0,153.0,24589.0
N1,1000029,link,link 25,23.6911108,90.5448886,244,,LRP012a,3221.0,4419.0,153.0,24589.0
N1,1000030,bridge,NAYABARI BOX CULVERT,23.691083,90.5450136,11,B,LRP012a,3221.0,4419.0,153.0,24589.0
N1,1000031,link,link 26,23.6910552,90.5451386,0,,LRP012b,3221.0,4419.0,153.0,24589.0
N1,1000032,intersection,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,163,,LRP012c,3221.0,4419.0,153.0,24589.0
N1,1000033,link,link 27,23.6865274,90.5504167,583,,LRP013,3221.0,4419.0,153.0,24589.0
N1,1000034,link,link 28,23.6854997,90.5512778,144,,LRP013a,3221.0,4419.0,153.0,24589.0
N1,1000035,bridge,Madanpur Bridge.(L) (3 bridges at crossing),23.6854997,90.5512778,28,A,LRP013a,3221.0,4419.0,153.0,24589.0
N1,1000036,link,link 29,23.678166,90.5556111,927,,LRP014,3221.0,4419.0,153.0,24589.0
N1,1000037,link,link 30,23.670916,90.5597778,911,,LRP015,3221.0,4419.0,153.0,24589.0
N1,1000038,link,link 31,23.6705827,90.5599722,42,,LRP015a,3221.0,4419.0,153.0,24589.0
N1,1000039,link,link 32,23.6628333,90.5641111,959,,LRP016,3221.0,4419.0,153.0,24589.0
N1,1000040,link,link 33,23.6604167,90.5671104,407,,LRP016a,3221.0,4419.0,153.0,24589.0
N1,1000041,link,link 34,23.6591111,90.5697216,303,,LRP016b,3221.0,4419.0,153.0,24589.0
N1,1000042,bridge,Langalbandhu bridge,23.65870835,90.57036045,0,B,LRP016b,3221.0,4419.0,153.0,24589.0
