roadNo	roadId	startChainage	endChainage	width	nrLanes
N104	1523	0	1.8	15.4	4
N104	1523	1.8	2	7.2	2
N104	1523	2	3.33	7.2	2
N104	1523	3.33	5.2	7.3	2
N104	1523	5.2	7.41	7.2	2
N104	1523	7.41	14.515	7.2	2
N104	1523	14.515	14.865	7	2
N104	1523	14.865	16.1	5.6	2
N104	1523	16.1	19.814	6	2
N104	1523	19.814	20.014	6	2
N104	1523	20.014	28.278	6.2	2
N104	1523	28.278	29.83	6	2
N104	1523	29.83	29.97	5.5	2
N104	1523	29.97	31.05	6.1	2
N104	1523	31.05	35.15	14.2	4
N104	1523	35.15	35.23	7.32	2
N104	1523	35.23	41.88	7.32	2
N104	1523	41.88	43.36	7.9	2
N104	1523	43.36	43.78	10.5	3
N104	1523	43.78	44.82	9.8	3
N104	1523	44.82	45.42	7.32	2
N104	1523	45.42	47.046	5.7	2
N104	1523	47.046	48.367	7.5	2
N104	1523	48.367	49.63	7.5	2
