LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRPS,0,Others,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1
LRPS,0,Others,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1
LRPS,0,Others,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1
LRPSa,0.814,Culvert,Box Culvert,23.7029167,90.4504167,N1
LRPSb,0.822,Cross Road,Intersection with Z1101,23.7027778,90.4504722,N1
LRP001,1,Km Post,Km post missing,23.7021389,90.4519722,N1
LRP002,2,Km Post,Km post missing,23.6978886,90.4605833,N1
LRP002a,2.13,Culvert,Box culvert,23.6973608,90.4616667,N1
LRP003,3,Km Post,Km post missing,23.693833,90.4691382,N1
LRP004,4,Km Post,Km post missing,23.6936108,90.4787771,N1
LRP004a,4.175,"Side Road, Right",Road to Narayanganj(R111),23.6938052,90.4805271,N1
LRP005,5,Km Post,Km post missing,23.6947497,90.4884997,N1
LRP006,6,Km Post,Km post missing,23.6959163,90.4981941,N1
LRP007,7,Km Post,Km post missing,23.697333,90.50775,N1
LRP007a,7.181,Cross Road,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778,N1
LRP008,8,Km Post,Km post missing,23.7020556,90.5157222,N1
LRP008a,8.011,Bridge,Kachpur bridge,23.7021111,90.5157778,N1
LRP008b,8.429,Bridge,Bridge end,23.7045833,90.5188327,N1
LRP009,8.503,Km Post,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,N1
LRP009a,8.763,"Side Road, Left",Road to Sylhet (N2),23.7060833,90.5215271,N1
LRP010,9.503,Km Post,Km post missing,23.7025278,90.5273882,N1
LRP010a,9.615,Culvert,Box culvert,23.7015278,90.5281938,N1
LRP010b,9.963,Culvert,Box culvert,23.6998608,90.5307216,N1
LRP010c,10.377,Culvert,Box culvert,23.6974163,90.5337774,N1
LRP011,10.503,Km Post,Km post missing,23.6966386,90.5348052,N1
LRP011a,10.885,Culvert,Box culvert,23.6943608,90.5376108,N1
LRP011b,11.313,Culvert,Box culvert,23.6922774,90.5410552,N1
LRP012,11.497,Km Post,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,N1
LRP012a,11.745,Bridge,Bridge start,23.6911108,90.5448886,N1
LRP012b,11.771,Bridge,Bridge end,23.6910552,90.5451386,N1
LRP012c,11.936,"Side Road, Right",Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,N1
LRP013,12.524,Km Post,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,N1
LRP013a,12.672,Culvert,Box culvert,23.6854997,90.5512778,N1
LRP014,13.524,Km Post,Km post missing,23.678166,90.5556111,N1
LRP015,14.524,Km Post,Km post missing,23.670916,90.5597778,N1
LRP015a,14.563,Culvert,Box culvert,23.6705827,90.5599722,N1
LRP016,15.524,Km Post,Km post missing,23.6628333,90.5641111,N1
