bridge_id,name,road,condition,length,failure_prob,broken_down,total_delay_min,vehicles_delayed,trucks_crossed,replication,seed
1000015,Kachpur bridge,N1,B,0,0,False,0,0,11760,1,1234567
1000025,NOYAPARA CULVERT,N1,A,6,0,False,0,0,9542,1,1234567
1000027,NAYABARI KASPUR BOX CULVERT,N1,A,8,0,False,0,0,9541,1,1234567
1000030,NAYABARI BOX CULVERT,N1,B,11,0,False,0,0,9541,1,1234567
1000035,Madanpur Bridge.(L) (3 bridges at crossing),N1,A,28,0,False,0,0,15549,1,1234567
1000042,Langalbandhu bridge,N1,B,0,0,False,0,0,15546,1,1234567
1000046,Bridge start,N1,B,0,0,False,0,0,15546,1,1234567
1000049,Darikandi Bridge (R) (2 bridges at crossing),N1,A,20,0,False,0,0,15547,1,1234567
1000053,DARIKANDI BRIDGE (R) (2 bridges at crossing),N1,B,20,0,False,0,0,15545,1,1234567
1000061,SHADIPUR BOX CULVERT,N1,B,10,0,False,0,0,15545,1,1234567
1000067,Bridge start,N1,B,0,0,False,0,0,15544,1,1234567
1000070,SANGAKADI CULVERT,N1,B,6,0,False,0,0,15544,1,1234567
1000084,Bridge end,N1,B,0,0,False,0,0,15539,1,1234567
1000089,Anarpara Bridge (L) (4 bridges at crossing),N1,A,30,0,False,0,0,15539,1,1234567
1000093,Bridge start,N1,B,0,0,False,0,0,15538,1,1234567
1000096,Alipur bridge(R) (4 bridges at crossing),N1,A,27,0,False,0,0,15538,1,1234567
1000101,Bhaber char Bridge(R) (4 bridges at crossing),N1,A,30,0,False,0,0,15535,1,1234567
1000107,NOYAPARA,N1,A,5,0,False,0,0,15530,1,1234567
1000113,Bridge start,N1,B,0,0,False,0,0,15529,1,1234567
1000124,Bridge start,N1,B,0,0,False,0,0,15527,1,1234567
1000132,Bridge start,N1,B,0,0,False,0,0,15520,1,1234567
1000146,Bridge start,N1,B,0,0,False,0,0,15512,1,1234567
1000151,Bridge start,N1,B,0,0,False,0,0,15508,1,1234567
1000161,Bridge start,N1,B,0,0,False,0,0,15506,1,1234567
1000190,Bridge start,N1,B,0,0,False,0,0,15491,1,1234567
1000212,TIPRA BAZAR BOX CULVERT,N1,A,1,0,False,0,0,25125,1,1234567
1000220,Bridge start,N1,B,0,0,False,0,0,25128,1,1234567
1000228,Bridge start,N1,B,0,0,False,0,0,25129,1,1234567
1000235,Bridge start,N1,B,0,0,False,0,0,25130,1,1234567
1000243,Bridge start,N1,B,0,0,False,0,0,25135,1,1234567
1000252,Bridge start,N1,B,0,0,False,0,0,25136,1,1234567
1000259,Bridge start,N1,B,0,0,False,0,0,25136,1,1234567
1000266,Bridge start,N1,B,0,0,False,0,0,25137,1,1234567
1000272,Bridge start,N1,B,0,0,False,0,0,25136,1,1234567
1000276,Bridge start,N1,B,0,0,False,0,0,25138,1,1234567
1000283,Bridge start,N1,B,0,0,False,0,0,25137,1,1234567
1000299,Bridge start,N1,B,0,0,False,0,0,25138,1,1234567
1000319,BOSONTA PUR BOX CULVERT,N1,C,6,0,False,0,0,25128,1,1234567
1000325,Bridge start,N1,B,0,0,False,0,0,25133,1,1234567
1000334,DIMATOLY (2) BOX CULVERT,N1,B,4,0,False,0,0,25129,1,1234567
1000342,FOKIR BAZAR SLAB CULVERT,N1,B,4,0,False,0,0,25130,1,1234567
1000355,UTTOR KAIEATI CULVERT,N1,A,4,0,False,0,0,25129,1,1234567
1000381,Bridge start,N1,B,0,0,False,0,0,17017,1,1234567
1000391,Lemua Bridge(L) (2 bridges at crossing),N1,C,99,0,False,0,0,17018,1,1234567
1000402,MUHURI BRIDGE (2 bridges at crossing),N1,B,192,0,False,0,0,17014,1,1234567
1000411,DumGhat Bridge(L) (2 bridges at crossing),N1,A,222,0,False,0,0,17016,1,1234567
1000425,CHAIRMEN BARI BOX CULVERT,N1,A,2,0,False,0,0,17012,1,1234567
1000427,MADDAM SONAPAR(1) BOX CULVERT,N1,A,2,0,False,0,0,17011,1,1234567
1000430,DHARBAR TILA CULVERT,N1,A,4,0,False,0,0,17012,1,1234567
1000432,MADDUM SONAPHAR-3,N1,A,2,0,False,0,0,17011,1,1234567
1000435,MAMAFOUN ASTANA CULVERT,N1,A,2,0,False,0,0,17012,1,1234567
1000437,MAMAFAKIR ASTANA SLAB CULVERT,N1,A,2,0,False,0,0,17012,1,1234567
1000440,MASTANNAGOR BONCUL(1),N1,A,8,0,False,0,0,17010,1,1234567
1000443,MUSTAU NOGAR(2),N1,A,3,0,False,0,0,17009,1,1234567
1000445,MASTARI HAGOR 3 CULVERT,N1,A,2,0,False,0,0,17009,1,1234567
1000450,PURPU DURGAPURE BOX CUL,N1,C,12,0,False,0,0,17006,1,1234567
1000474,VARTAKA BOX CULVERT,N1,A,13,0,False,0,0,17007,1,1234567
1000501,TARAT BOX CULVERT,N1,A,6,0,False,0,0,17001,1,1234567
1000512,RONA SORA CULVERT,N1,A,3,0,False,0,0,17004,1,1234567
1000522,UTTOR SITAKONDO BAZAR BOX CULVERT,N1,B,6,0,False,0,0,17004,1,1234567
1000527,MOHADAB PUR BOX CULVERT,N1,A,3,0,False,0,0,17004,1,1234567
1000530,MOHADAB PUR BOX CULVERT,N1,A,3,0,False,0,0,17004,1,1234567
1000541,HATILOTA BOX CULVERT,N1,A,4,0,False,0,0,17005,1,1234567
1000546,Bridge start,N1,B,0,0,False,0,0,17002,1,1234567
1000552,Bridge start,N1,B,0,0,False,0,0,17002,1,1234567
1000556,R. R TEXTAIL BOX CULVERT,N1,A,4,0,False,0,0,17000,1,1234567
1000558,Bridge start,N1,B,0,0,False,0,0,16998,1,1234567
1000564,Bridge start,N1,B,0,0,False,0,0,16998,1,1234567
1000572,Bridge start,N1,B,0,0,False,0,0,17000,1,1234567
1000576,Bridge start,N1,B,0,0,False,0,0,17000,1,1234567
1000580,Chotokumir Bridge (2 bridges at crossing),N1,A,41,0,False,0,0,17001,1,1234567
1000584,Bridge start,N1,B,0,0,False,0,0,16999,1,1234567
1000587,ROYL CIMINT GATE CULVETRT,N1,A,4,0,False,0,0,17000,1,1234567
1000592,Bridge start,N1,B,0,0,False,0,0,16999,1,1234567
1000599,Bridge start,N1,B,0,0,False,0,0,16996,1,1234567
1000606,Bridge start,N1,B,0,0,False,0,0,16997,1,1234567
1000611,Bridge start,N1,B,0,0,False,0,0,16994,1,1234567
1000616,Bridge start,N1,B,0,0,False,0,0,16993,1,1234567
1000621,Bridge start,N1,B,0,0,False,0,0,16993,1,1234567
1000630,Bridge start,N1,B,0,0,False,0,0,16994,1,1234567
1000636,Bridge start,N1,B,0,0,False,0,0,16992,1,1234567
1000642,Bridge start,N1,B,0,0,False,0,0,16993,1,1234567
1000652,Bridge start,N1,B,0,0,False,0,0,5074,1,1234567
1000656,Bridge start,N1,B,0,0,False,0,0,5074,1,1234567
1000660,HAFAS BAGAR BRIDGE (2 bridges at crossing),N1,B,38,0,False,0,0,5074,1,1234567
1000663,RAZAKATI BRIDGE (2 bridges at crossing),N1,B,39,0,False,0,0,5074,1,1234567
1000669,Bridge end,N1,B,0,0,False,0,0,5073,1,1234567
1000710,Patiya Bridge (2 bridges at crossing),N1,B,50,0,False,0,0,5066,1,1234567
1000722,Srimi Bridge (2 bridges at crossing),N1,B,61,0,False,0,0,5064,1,1234567
1000732,Korna Bridge (2 bridges at crossing),N1,B,15,0,False,0,0,5064,1,1234567
1000746,Kanchon Nagar Bridge (2 bridges at crossing),N1,B,13,0,False,0,0,5063,1,1234567
1000750,Bridge start,N1,B,0,0,False,0,0,5062,1,1234567
1000758,MAZAR POINT BRIDGE (2 bridges at crossing),N1,C,50,0,False,0,0,5063,1,1234567
1000761,MAZAR POINT BRIDGE (2 bridges at crossing),N1,C,50,0,False,0,0,5063,1,1234567
1000773,Sangu Bridge (2 bridges at crossing),N1,B,211,0,False,0,0,5058,1,1234567
1000777,KATGOR CULVERT,N1,A,9,0,False,0,0,5059,1,1234567
1000785,Pathanerpul Bridge (2 bridges at crossing),N1,A,34,0,False,0,0,5055,1,1234567
1000788,Noyakhalar Muk Bridge (2 bridges at crossing),N1,A,28,0,False,0,0,5055,1,1234567
1000793,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,N1,A,20,0,False,0,0,5056,1,1234567
1000796,KARANERHAT CULVERT,N1,A,5,0,False,0,0,5056,1,1234567
1000810,RAJGHATA BRIDGE (2 bridges at crossing),N1,A,30,0,False,0,0,5055,1,1234567
1000814,Khoria Nagar Bridge (2 bridges at crossing),N1,A,38,0,False,0,0,5054,1,1234567
1000817,NOYA PARA BOX CULVERT,N1,A,2,0,False,0,0,5054,1,1234567
1000820,PODUA NOYA PARA BOX CULVERT,N1,A,8,0,False,0,0,5054,1,1234567
1000822,PODUA BAZAR BOX CULVERT,N1,A,13,0,False,0,0,5054,1,1234567
1000825,PODUA BAZAR BOX CULVERT,N1,A,6,0,False,0,0,5055,1,1234567
1000828,BARO AWLIA(R),N1,A,14,0,False,0,0,5054,1,1234567
1000831,TALOCKDNR PARA BOX CULVERT (2 bridges at crossing),N1,A,2,0,False,0,0,5054,1,1234567
1000834,AMIRABAD BOX CULVERT,N1,A,2,0,False,0,0,5052,1,1234567
1000840,AMIRABAD LOHAGORA BOX CULVERT,N1,A,10,0,False,0,0,5052,1,1234567
1000843,LOHAGORA L.S BOX CULVERT,N1,A,3,0,False,0,0,5051,1,1234567
1000846,DIGIRPARK BOX CULVERT,N1,A,13,0,False,0,0,5050,1,1234567
1000852,ZADUNAGOR BUS STATION BOX CULVERT,N1,A,14,0,False,0,0,5050,1,1234567
1000857,Aadunagor bridge (2 bridges at crossing),N1,A,24,0,False,0,0,5048,1,1234567
1000861,HATIAR PULL PC GIDER BRIDGE (2 bridges at crossing),N1,A,22,0,False,0,0,5047,1,1234567
1000871,Rataykul Bridge (2 bridges at crossing),N1,A,22,0,False,0,0,5045,1,1234567
1000874,BONPUKR PARA BOX CULVERT,N1,A,8,0,False,0,0,5045,1,1234567
1000878,SANTI RCC GIDER BRIDGE (2 bridges at crossing),N1,A,22,0,False,0,0,5046,1,1234567
1000890,AZIZNAGOR BOX CULVERT,N1,A,2,0,False,0,0,5045,1,1234567
1000900,HARBHANG CHOR,N1,A,14,0,False,0,0,5045,1,1234567
1000903,GHOIL MARA BOX CULVERT,N1,A,9,0,False,0,0,5045,1,1234567
1000906,HARBANG,N1,A,3,0,False,0,0,5045,1,1234567
1000909,HARBANG,N1,A,3,0,False,0,0,5045,1,1234567
1000912,HARBANGCHORA (2 bridges at crossing),N1,A,56,0,False,0,0,5045,1,1234567
1000916,ALIPUR BOX CULVERT,N1,A,14,0,False,0,0,5044,1,1234567
1000918,HARBANG,N1,A,2,0,False,0,0,5044,1,1234567
1000927,BODOI TOLA RCC GIDER BRIDGE (2 bridges at crossing),N1,A,46,0,False,0,0,5042,1,1234567
1000930,BODAITALI BOX CULVERT,N1,A,12,0,False,0,0,5042,1,1234567
1000933,BODOITOLI BOX CULVERT,N1,A,14,0,False,0,0,5041,1,1234567
1000937,BANIYAR CHORA,N1,A,14,0,False,0,0,5042,1,1234567
1000942,NOL BELA BOX CULVERT,N1,A,21,0,False,0,0,5042,1,1234567
1000951,DIDDA BAZAR BOX CULVERT,N1,A,16,0,False,0,0,5042,1,1234567
1000954,Bridge start,N1,B,0,0,False,0,0,5042,1,1234567
1000966,PASIYAKALI (2) (2 bridges at crossing),N1,A,39,0,False,0,0,5042,1,1234567
1000981,Bridge start,N1,B,0,0,False,0,0,5038,1,1234567
1000989,Bridge start,N1,B,0,0,False,0,0,5036,1,1234567
1000993,PAGOLARIBIL,N1,A,4,0,False,0,0,5036,1,1234567
1001003,Bridge start,N1,B,0,0,False,0,0,5033,1,1234567
1001027,Eidgaon Bazar Bridge (2 bridges at crossing),N1,A,46,0,False,0,0,5030,1,1234567
1001030,Goro Bazar Bridge (2 bridges at crossing),N1,A,45,0,False,0,0,5030,1,1234567
1001038,KALIRCHARA BOX CULVERT,N1,A,8,0,False,0,0,5030,1,1234567
