bridge_id,avg_trucks_crossed,betweenness,norm_traffic,norm_betweenness,combined_score,rank_by_traffic,rank_by_betweenness,rank_by_combined
2000278,30341.1,0.44883792920208987,0.999654054481477,0.9090223466421307,0.972464542129673,18,33,1
2000284,30340.6,0.44788895969308196,0.9996375808853569,0.9071004179595353,0.9718764320076103,19,35,2
2000288,30339.3,0.4472514803030226,0.9995947495354446,0.9058093438916242,0.9714591278422984,20,36,3
2000292,30341.3,0.44661013447238673,0.9996606439199252,0.9045104392001018,0.9711155825039781,16,37,4
2000297,30341.3,0.44580301500203107,0.9996606439199252,0.9028757965212454,0.9706251897003212,16,39,5
2000303,30342.5,0.44482649710391514,0.9997001805506135,0.9008980746454195,0.9700595487790552,15,40,6
2000306,30342.6,0.44433497584562076,0.9997034752698375,0.8999026066188346,0.9697632146745366,14,42,7
2000314,30342.9,0.44301361977858345,0.9997133594275097,0.897226490999677,0.9689672988991598,13,45,8
2000316,30344.5,0.44268086423646374,0.9997660749350941,0.8965525679551305,0.968802022841105,12,46,9
2000320,30344.6,0.442012453321792,0.9997693696543181,0.8951988488983291,0.9683982134275213,11,47,10
2000324,30344.7,0.4413401759665437,0.9997726643735422,0.8938372992179164,0.9679920548268544,10,49,11
2000330,30345.9,0.4403245103575902,0.9998122010042305,0.8917802922780264,0.9674026283863693,9,51,12
2000346,30348.8,0.437573537887372,0.9999077478617272,0.886208803578595,0.9657980645767875,6,55,13
2000350,30346.7,0.4368761286683761,0.9998385587580227,0.884796354844709,0.9653258975840286,8,57,14
2000356,30347.9,0.4358227652638012,0.9998780953887111,0.8826629993246087,0.9647135665694803,7,59,15
2000360,30349.1,0.43511568994336386,0.9999176320193993,0.8812309740316944,0.9643116346230878,5,61,16
2000366,30351.0,0.4340478273866269,0.9999802316846559,0.8790682536730519,0.9637066382811748,2,63,17
2000370,30350.6,0.4333310859647482,0.9999670528077598,0.8776166518211094,0.9632619325117646,4,66,18
2000374,30350.7,0.432610478102293,0.9999703475269838,0.8761572193455557,0.9628264090725553,3,67,19
2000378,30351.6,0.4318860037992612,1.0,0.8746899562463906,0.9624069868739171,1,69,20
