bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank
2000378,N2,Bridge start,B,0,24.144916350000003,91.3367219,30351.6,50.33,1.0,1.0,1.0,1
2000366,N2,Bridge start,B,0,24.126937508732876,91.31902061729453,30351.0,50.33,0.9999802316846559,1.0,0.9999861621792592,2
2000374,N2,Bridge start,B,0,24.14177745,91.3270688,30350.7,50.33,0.9999703475269838,1.0,0.9999792432688885,3
2000370,N2,Bridge start,B,0,24.1358052,91.3235132,30350.6,50.33,0.9999670528077598,1.0,0.9999769369654319,4
2000360,N2,Bridge start,B,0,24.1122778,91.30495835,30349.1,50.33,0.9999176320193993,1.0,0.9999423424135794,5
2000346,N2,KHATABARI CULVERT,A,10,24.0850552,91.2836941,30348.8,50.33,0.9999077478617272,1.0,0.999935423503209,6
2000356,N2,Bridge start,B,0,24.10704165,91.29998595,30347.9,50.33,0.9998780953887111,1.0,0.9999146667720977,7
2000350,N2,Bridge start/ Start of Habiganj road Division / Bridge start/ Start of Habiganj road Division,B,0,24.0943608,91.2897358,30346.7,50.33,0.9998385587580227,1.0,0.9998869911306159,8
2000330,N2,Bridge start,B,0,24.05318055,91.24138855,30345.9,50.33,0.9998122010042305,1.0,0.9998685407029613,9
2000324,N2,Bridge start,B,0,24.04438855,91.2215132,30344.7,50.33,0.9997726643735422,1.0,0.9998408650614794,10
2000320,N2,Khilsima Bridge,C,27,24.04202745,91.214,30344.6,50.33,0.9997693696543181,1.0,0.9998385587580225,11
2000316,N2,KATAKHALI BRIDGE (2 bridges at crossing),A,34,24.04079135,91.2082083,30344.5,50.33,0.9997660749350941,1.0,0.9998362524545659,12
2000314,N2,RAMPUR P C GIRDER BRIDGE (2 bridges at crossing),C,64,24.0429997,91.2045,30342.9,50.33,0.9997133594275097,1.0,0.9997993515992567,13
2000306,N2,Bridge start,B,0,24.0428052,91.1804577,30342.6,50.33,0.9997034752698375,1.0,0.9997924326888863,14
2000303,N2,Chatol Bridge (2 bridges at crossing),A,27,24.045333,91.17723545,30342.5,50.33,0.9997001805506135,1.0,0.9997901263854294,15
2000297,N2,BARURA BOX CULVERT,A,12,24.05240275,91.1662361,30341.3,50.33,0.9996606439199252,1.0,0.9997624507439475,16
2000292,N2,Bridge start,B,0,24.0542222,91.1506111,30341.3,50.33,0.9996606439199252,1.0,0.9997624507439475,17
2000278,N2,Bridge start,B,0,24.0584028,91.1188049,30341.1,50.33,0.999654054481477,1.0,0.9997578381370338,18
2000284,N2,Bridge start,B,0,24.055875,91.1379719,30340.6,50.33,0.9996375808853569,1.0,0.9997463066197498,19
2000288,N2,BARIUSA RCC GIDER BRIDGE (2 bridges at crossing),C,43,24.054958300000003,91.14529135,30339.3,50.33,0.9995947495354446,1.0,0.9997163246748111,20
2000501,N2,BASHINA BOX CULVERT,C,2,24.2861663,91.4980552,28176.3,42.48,0.9283299727197248,0.8440294059209219,0.9030398026800839,21
2000497,N2,Bridge start,B,0,24.280041,91.48802745,28176.3,42.48,0.9283299727197248,0.8440294059209219,0.9030398026800839,22
2000491,N2,Bridge start,B,0,24.2708882,91.47883265,28173.0,42.48,0.9282212469853319,0.8440294059209219,0.9029636946660089,23
1000243,N1,Bridge start,B,0,23.4036528,91.21772155,25030.4,42.48,0.8246814006510366,0.8440294059209219,0.8304858022320021,24
1000252,N1,Bridge start,B,0,23.37786045,91.2404441,25030.4,42.48,0.8246814006510366,0.8440294059209219,0.8304858022320021,25
1000228,N1,Bridge start,B,0,23.42349935,91.163125,25028.6,42.48,0.824622095705004,0.8440294059209219,0.8304442887697794,26
1000259,N1,Bridge start,B,0,23.35854165,91.25329165,25028.0,42.48,0.8246023273896599,0.8440294059209219,0.8304304509490384,27
1000220,N1,Bridge start,B,0,23.4487358,91.14719415,25027.6,42.48,0.8245891485127638,0.8440294059209219,0.8304212257352112,28
1000235,N1,Bridge start,B,0,23.41308335,91.1847913,25027.6,42.48,0.8245891485127638,0.8440294059209219,0.8304212257352112,29
1000283,N1,Bridge start,B,0,23.29602745,91.29151355,25027.3,42.48,0.8245792643550917,0.8440294059209219,0.8304143068248407,30
1000276,N1,Bridge start,B,0,23.314847200000003,91.28451355,25027.2,42.48,0.8245759696358677,0.8440294059209219,0.8304120005213839,31
1000325,N1,Bridge start,B,0,23.16809655,91.3213604,25027.1,42.48,0.8245726749166435,0.8440294059209219,0.830409694217927,32
1000299,N1,Bridge start,B,0,23.24824965,91.30984725,25027.0,42.48,0.8245693801974197,0.8440294059209219,0.8304073879144703,33
1000355,N1,UTTOR KAIEATI CULVERT,A,4,23.08074935,91.35490275,25026.9,42.48,0.8245660854781957,0.8440294059209219,0.8304050816110135,34
1000272,N1,Bridge start,B,0,23.32412435,91.2791382,25026.8,42.48,0.8245627907589715,0.8440294059209219,0.8304027753075566,35
1000266,N1,Bridge start,B,0,23.33587465,91.2701799,25026.7,42.48,0.8245594960397475,0.8440294059209219,0.8304004690040998,36
1000212,N1,TIPRA BAZAR BOX CULVERT,A,1,23.4793327,91.1234716,25026.7,42.48,0.8245594960397475,0.8440294059209219,0.8304004690040998,37
1000319,N1,BOSONTA PUR BOX CULVERT,C,6,23.18665245,91.3212632,25025.9,42.48,0.8245331382859553,0.8440294059209219,0.8303820185764452,38
1000342,N1,FOKIR BAZAR SLAB CULVERT,B,4,23.1193049,91.3329993,25024.9,42.48,0.8245001910937151,0.8440294059209219,0.8303589555418771,39
1000334,N1,DIMATOLY (2) BOX CULVERT,B,4,23.1433886,91.326666,25024.2,42.48,0.8244771280591469,0.8440294059209219,0.8303428114176793,40
2000464,N2,SATANKONADI BRIDGE,A,3,24.27658265,91.4042639,29387.2,0.0,0.9682257278034767,0.0,0.6777580094624337,41
2000458,N2,SHARALDI BOX CULVERT,A,2,24.2710271,91.3923052,29385.4,0.0,0.9681664228574441,0.0,0.6777164960002109,42
2000453,N2,GORIPUR BOX CULVERT,B,3,24.2655278,91.3821382,29383.3,0.0,0.9680972337537396,0.0,0.6776680636276177,43
2000448,N2,CHARA BOX CULVERT,A,4,24.2585833,91.3780827,29383.0,0.0,0.9680873495960675,0.0,0.6776611447172471,44
2000429,N2,SHIBPUR BOX CULVERT,A,8,24.223166,91.3647222,29382.7,0.0,0.9680774654383955,0.0,0.6776542258068767,45
2000419,N2,SAHAPUR BOX CULVERT,A,3,24.21094445,91.3561111,29380.7,0.0,0.9680115710539149,0.0,0.6776080997377404,46
2000439,N2,RIAZ NAGAR BOX CULVERT,A,2,24.239871780645164,91.36895125558311,29380.7,0.0,0.9680115710539149,0.0,0.6776080997377404,47
2000417,N2,Shapur Bridge (2 bridges at crossing),A,30,24.2088889,91.3546944,29379.9,0.0,0.9679852133001227,0.0,0.6775896493100858,48
2000424,N2,HORI TOLA BOX CULVERT,A,7,24.2185827,91.36275,29379.6,0.0,0.9679753291424504,0.0,0.6775827303997153,49
2000408,N2,PATONPUR,A,6,24.191083,91.3505278,29377.9,0.0,0.9679193189156421,0.0,0.6775435232409495,50
2000399,N2,ITAKHOLA BOX CULVERT,A,3,24.1700827,91.3490274,29375.7,0.0,0.9678468350927135,0.0,0.6774927845648995,51
2000388,N2,JAGADISHPUR 2 BOX CULVERT,A,4,24.15425,91.3487774,29375.3,0.0,0.9678336562158173,0.0,0.6774835593510721,52
2000391,N2,BELGOR CULVERT,A,2,24.1592222,91.3489163,29374.6,0.0,0.9678105931812491,0.0,0.6774674152268743,53
2000396,N2,NARAONPUR CULVERT,A,8,24.1655278,91.3490274,29374.6,0.0,0.9678105931812491,0.0,0.6774674152268743,54
1000425,N1,CHAIRMEN BARI BOX CULVERT,A,2,22.8731382,91.5414441,16923.9,29.41,0.5575949867552288,0.5843433339956289,0.5656194909273489,55
1000411,N1,DumGhat Bridge(L) (2 bridges at crossing),A,222,22.91473615,91.5264021,16923.9,29.41,0.5575949867552288,0.5843433339956289,0.5656194909273489,56
1000435,N1,MAMAFOUN ASTANA CULVERT,A,2,22.856,91.5457219,16923.9,29.41,0.5575949867552288,0.5843433339956289,0.5656194909273489,57
1000430,N1,DHARBAR TILA CULVERT,A,4,22.86111772310757,91.54512584501992,16923.9,29.41,0.5575949867552288,0.5843433339956289,0.5656194909273489,58
1000437,N1,MAMAFAKIR ASTANA SLAB CULVERT,A,2,22.8550556,91.545833,16923.8,29.41,0.5575916920360047,0.5843433339956289,0.565617184623892,59
1000427,N1,MADDAM SONAPAR(1) BOX CULVERT,A,2,22.868416,91.5431663,16923.7,29.41,0.5575883973167807,0.5843433339956289,0.5656148783204351,60
1000432,N1,MADDUM SONAPHAR-3,A,2,22.8595833,91.5454719,16923.6,29.41,0.5575851025975567,0.5843433339956289,0.5656125720169782,61
1000381,N1,Bridge start,B,0,22.99612465,91.40058335,16923.3,29.41,0.5575752184398846,0.5843433339956289,0.5656056531066078,62
