bridge_id,broken_pairs,broken_pct,road,name,avg_trucks_crossed,betweenness,combined_score,criticality_rank
2000320,154,50.33,N2,Khilsima Bridge,30344.6,0.442012453321792,0.9683982134275212,1
2000330,154,50.33,N2,Bridge start,30345.9,0.4403245103575902,0.9674026283863691,2
2000284,154,50.33,N2,Bridge start,30340.6,0.4478889596930819,0.9718764320076104,3
2000288,154,50.33,N2,BARIUSA RCC GIDER BRIDGE (2 bridges at crossing),30339.3,0.4472514803030226,0.9714591278422984,4
2000292,154,50.33,N2,Bridge start,30341.3,0.4466101344723867,0.971115582503978,5
2000297,154,50.33,N2,BARURA BOX CULVERT,30341.3,0.445803015002031,0.9706251897003212,6
2000303,154,50.33,N2,Chatol Bridge (2 bridges at crossing),30342.5,0.4448264971039151,0.9700595487790552,7
2000306,154,50.33,N2,Bridge start,30342.6,0.4443349758456207,0.9697632146745366,8
2000314,154,50.33,N2,RAMPUR P C GIRDER BRIDGE (2 bridges at crossing),30342.9,0.4430136197785834,0.9689672988991598,9
2000316,154,50.33,N2,KATAKHALI BRIDGE (2 bridges at crossing),30344.5,0.4426808642364637,0.968802022841105,10
2000324,154,50.33,N2,Bridge start,30344.7,0.4413401759665437,0.9679920548268544,11
2000346,154,50.33,N2,KHATABARI CULVERT,30348.8,0.437573537887372,0.9657980645767876,12
2000350,154,50.33,N2,Bridge start/ Start of Habiganj road Division / Bridge start/ Start of Habiganj road Division,30346.7,0.4368761286683761,0.9653258975840286,13
2000356,154,50.33,N2,Bridge start,30347.9,0.4358227652638012,0.9647135665694804,14
2000360,154,50.33,N2,Bridge start,30349.1,0.4351156899433638,0.9643116346230878,15
2000366,154,50.33,N2,Bridge start,30351.0,0.4340478273866269,0.9637066382811748,16
2000370,154,50.33,N2,Bridge start,30350.6,0.4333310859647482,0.9632619325117646,17
2000374,154,50.33,N2,Bridge start,30350.7,0.432610478102293,0.9628264090725552,18
2000378,154,50.33,N2,Bridge start,30351.6,0.4318860037992612,0.9624069868739172,19
2000278,154,50.33,N2,Bridge start,30341.1,0.4488379292020898,0.972464542129673,20
1000325,130,42.48,N1,Bridge start,25027.1,0.4859492341185349,0.8724558081815954,21
1000319,130,42.48,N1,BOSONTA PUR BOX CULVERT,25025.9,0.4864414803344374,0.8727272134206672,22
1000299,130,42.48,N1,Bridge start,25027.0,0.4880194713947435,0.8737113447370994,23
1000283,130,42.48,N1,Bridge start,25027.3,0.4892122683126104,0.8744429878626945,24
1000276,130,42.48,N1,Bridge start,25027.2,0.4897146639350264,0.8747459290558852,25
1000252,130,42.48,N1,Bridge start,25030.4,0.4913472684684762,0.8758116750124633,26
