bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank,failure_rate,expected_delay,mean_delay_when_failed,mean_vehicles_delayed,norm_criticality,norm_vulnerability,priority_equal,priority_crit_heavy,priority_vuln_heavy,priority_rank,quadrant
2000303,N2,Chatol Bridge (2 bridges at crossing),A,27,24.045333,91.17723545,30342.5,50.33,0.9997001805506136,1.0,0.9997901263854294,15,0.4,314350.5,785876.25,8495.3,0.9997901263854294,0.7464502411622901,0.8731201837738598,0.9237881608184876,0.8224522067292319,1,A
2000314,N2,RAMPUR P C GIRDER BRIDGE (2 bridges at crossing),C,64,24.0429997,91.2045,30342.9,50.33,0.9997133594275096,1.0,0.9997993515992568,13,0.3,286251.1,954170.3333333334,4270.0,0.9997993515992568,0.6797259830284056,0.8397626673138312,0.9037773410280014,0.775747993599661,2,A
2000288,N2,BARIUSA RCC GIDER BRIDGE (2 bridges at crossing),C,43,24.054958300000003,91.14529135,30339.3,50.33,0.9995947495354446,1.0,0.9997163246748112,20,0.4,238437.4,596093.5,6439.5,0.9997163246748112,0.5661885530072623,0.7829524388410367,0.8696579931745465,0.6962468845075269,3,A
2000175,N2,BRIDE OVER ARIAL RCC GIDER BRIDGE (2 bridges at crossing),C,140,24.047333,90.86272225,20737.3,0.0,0.6832358096443021,0.0,0.4782650667510114,125,0.5,421127.2,842254.4,6279.9,0.4782650667510114,1.0,0.7391325333755057,0.634785546725708,0.8434795200253034,4,A
2000316,N2,KATAKHALI BRIDGE (2 bridges at crossing),A,34,24.04079135,91.2082083,30344.5,50.33,0.999766074935094,1.0,0.999836252454566,12,0.4,199804.6,499511.5,5386.5,0.999836252454566,0.4744518995685864,0.7371440760115762,0.8422209465887721,0.6320672054343803,5,A
2000320,N2,Khilsima Bridge,C,27,24.04202745,91.214,30344.6,50.33,0.999769369654318,1.0,0.9998385587580224,11,0.3,164647.8,548826.0,4445.0,0.9998385587580224,0.3909692843397434,0.6954039215488829,0.8171777764325387,0.573630066665227,6,A
2000346,N2,KHATABARI CULVERT,A,10,24.0850552,91.2836941,30348.8,50.33,0.9999077478617272,1.0,0.999935423503209,6,0.3,159138.2,530460.6666666666,4279.9,0.999935423503209,0.3778863013360334,0.6889108624196212,0.8133206868530563,0.5645010379861861,7,A
2000491,N2,Bridge start,B,0,24.2708882,91.47883265,28173.0,42.48,0.928221246985332,0.8440294059209219,0.9029636946660088,23,0.6,170944.3,284907.1666666667,11783.1,0.9029636946660088,0.40592082392208334,0.6544422592940461,0.7538508334428311,0.555033685145261,8,A
1000402,N1,MUHURI BRIDGE (2 bridges at crossing),B,192,22.94962465,91.5017778,16921.4,29.41,0.5575126187746281,0.5843433339956289,0.5655618333409282,76,0.6,306510.5,510850.8333333333,4575.9,0.5655618333409282,0.7278335381803882,0.6466976857606582,0.6142433447927662,0.6791520267285501,9,A
2000297,N2,BARURA BOX CULVERT,A,12,24.05240275,91.1662361,30341.3,50.33,0.9996606439199252,1.0,0.9997624507439477,16,0.2,111158.5,555792.5,3000.1,0.9997624507439477,0.2639546911242019,0.6318585709340747,0.7790201228580239,0.48469701901012563,10,A
